,boston_zip1,boston_zip2,boston_dist,,exponential dist,,summation,include point 0
1,2467,2151,10.55358031,13.0337661,38314.37036,,68221.38358,68222.38358
2,2467,2152,9.958548763,,21132.10576,,4010.201033,4011.201033
3,2467,2128,8.123895278,,3374.138387,,7666.85371,7667.85371
4,2467,2129,6.485909024,,655.834863,,7907.173221,7908.173221
5,2467,2109,6.370201654,,584.1756184,,3100.810966,3101.810966
6,2467,2110,6.291263714,,539.8350954,,9377.04332,9378.04332
7,2467,2210,6.234209702,,509.8974882,,264590.8639,264591.8639
8,2467,2113,6.102820893,,447.1172628,,1000088.336,1000089.336
9,2467,2127,5.989749694,,399.3146466,,607859.5776,607860.5776
10,2467,2122,5.889491085,,361.2214066,,27484.08157,27485.08157
11,2467,2203,5.769352116,,320.3301286,,9398.469746,9399.469746
12,2467,2114,5.463209261,,235.8531253,,434421.7261,434422.7261
13,2467,2111,5.404352013,,222.3720796,,106959.9697,106960.9697
14,2467,2108,5.402830394,,222.0339713,,19640.38402,19641.38402
15,2467,2125,4.964875871,,143.2907626,,22361.52885,22362.52885
16,2467,2124,4.661639471,,105.8094115,,45123.67382,45124.67382
17,2467,2116,4.637897178,,103.326841,,5203.043296,5204.043296
18,2467,2118,4.546190189,,94.27256263,,87534.59078,87535.59078
19,2467,2136,4.289467178,,72.92760072,,4193.388682,4194.388682
20,2467,2199,4.279382034,,72.19581166,,25294.6471,25295.6471
21,2467,2126,4.017031441,,55.53599899,,14725.34238,14726.34238
22,2467,2163,3.882242296,,48.53291832,,10079.35046,10080.35046
23,2467,2119,3.536338644,,34.34095427,,4159.602011,4160.602011
24,2467,2121,3.479738842,,32.45124607,,4097.619906,4098.619906
25,2467,2215,3.427754018,,30.80737219,,2737.807628,2738.807628
26,2467,2134,3.248872446,,25.7612763,,3525.658277,3526.658277
27,2467,2120,3.129557906,,22.86386933,,4679.533741,4680.533741
28,2467,2115,2.913894423,,18.42842709,,7322.495613,7323.495613
29,2467,2131,2.501192533,,12.19703065,,11186.05162,11187.05162
30,2467,2135,2.424295467,,11.29426943,,4784.74197,4785.74197
31,2467,2132,2.403706453,,11.06410908,,11411.63755,11412.63755
32,2467,2130,2.038999865,,7.682921397,,14011.92146,14012.92146
33,2215,2151,7.126783718,,1244.866679,,5919.968239,5920.968239
34,2215,2152,6.7738945,,874.7118344,,,
35,2215,2136,6.531410061,,686.3653465,,,
36,2215,2132,5.534482025,,253.2765627,,,
37,2215,2126,5.0933502,,162.9348129,,,
38,2215,2128,4.988056309,,146.6511019,,,
39,2215,2122,4.970716924,,144.1301807,,,
40,2215,2124,4.578148494,,97.33401276,,,
41,2215,2131,4.52996942,,92.75572457,,,
42,2215,2467,3.427754018,,30.80737219,,,
43,2215,2127,3.374587701,,29.21223712,,,
44,2215,2125,3.257861009,,25.99387697,,,
45,2215,2210,3.236090341,,25.4340885,,,
46,2215,2129,3.063536226,,21.40310973,,,
47,2215,2109,2.995062789,,19.98661479,,,
48,2215,2121,2.985025578,,19.78700834,,,
49,2215,2110,2.982803767,,19.74309415,,,
50,2215,2113,2.72648931,,15.27915238,,,
51,2215,2130,2.712233809,,15.06288557,,,
52,2215,2135,2.609809949,,13.59646658,,,
53,2215,2203,2.42718278,,11.32692664,,,
54,2215,2111,2.249350409,,9.48157469,,,
55,2215,2108,2.067839378,,7.907719055,,,
56,2215,2114,2.055225302,,7.808596967,,,
57,2215,2119,1.867740946,,6.473655531,,,
58,2215,2118,1.820595359,,6.175534015,,,
59,2215,2163,1.637465876,,5.142122212,,,
60,2215,2134,1.495759528,,4.46272483,,,
61,2215,2116,1.370689664,,3.938065701,,,
62,2215,2120,1.119677154,,3.063864887,,,
63,2215,2199,1.067030003,,2.906733677,,,
64,2215,2115,0.779945482,,2.181353339,,,
65,2210,2136,7.875508618,,2632.024545,,,
66,2210,2132,7.796752708,,2432.689484,,,
67,2210,2467,6.234209702,,509.8974882,,,
68,2210,2131,6.231387202,,508.4603317,,,
69,2210,2126,5.876556131,,356.579113,,,
70,2210,2135,5.843261069,,344.9022588,,,
71,2210,2151,5.248844304,,190.346159,,,
72,2210,2130,4.638232068,,103.3614499,,,
73,2210,2134,4.601293045,,99.61303654,,,
74,2210,2124,4.566528031,,96.20949284,,,
75,2210,2163,4.437952922,,84.60157826,,,
76,2210,2122,3.897723202,,49.29009766,,,
77,2210,2152,3.738522074,,42.0358184,,,
78,2210,2121,3.719413117,,41.24018384,,,
79,2210,2115,3.393296752,,29.76391495,,,
80,2210,2215,3.236090341,,25.4340885,,,
